voice_id,name,description,language,locale,gender,age,accent,category,descriptive,use_case,preview_url
Vr1jwoqy1MDvyAPwDY9C,Xuân Lượng,The speaker speaks with a calm tone in this narrative story.,vi,vi-VN,male,middle-aged,standard,professional,calm,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/workspace/63b8c89e63254c848adadfce972bbb10/voices/Vr1jwoqy1MDvyAPwDY9C/63455403-f924-408d-90fa-33a0c27a35ab.mp3
K7ewtjKRNtwwt3lKQ6M0,Tony Hoang ,"The speaker asks about generating a video with an avatar, using a professional and informative tone suited for an educational context.",vi,vi-VN,male,young,standard,professional,professional,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/29844bc2632a47a18c0d4f2fdc86c16a/voices/K7ewtjKRNtwwt3lKQ6M0/gHszf2C5JMLjRDDu5per.mp3
ikIaXswrYCYOUEVrkNVj,Tuyen Nguyen - Warm Vietnamese Narration,"The speaker delivers a professional and pleasant greeting to the listener with a calm and welcoming tone, suitable for informative or educational purposes.",vi,vi-VN,female,young,standard,professional,pleasant,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/45d90ea1953c44548d47922c4b9b5899/voices/ikIaXswrYCYOUEVrkNVj/vPzuaCLtSzGqSm8Yrb1T.mp3
KqbkuMVLVelcCTkFXEbE,Man Nghi - Radio,The speaker has a gentle tone and is narrating a story in a professional manner.,vi,vi-VN,male,young,standard,professional,gentle,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/workspace/248fc56ef7e34c3fa28059830c1df010/voices/KqbkuMVLVelcCTkFXEbE/wmV231UTj3XNhZQkAyxd.mp3
4HGP1feHKTQ1DJst6Tk8,"Ton - Vietnamese, Warm, Narration-vibe",The speaker delivers a message with a deep tone in a professional manner.,vi,vi-VN,male,middle-aged,standard,professional,deep,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/f367e36934d74fb0aa9e1ddb9fc0de4b/voices/4HGP1feHKTQ1DJst6Tk8/qRvUInTzDKB8Vo48sHuw.mp3
o7eW6FU1U8btdmuKphGp,Le Công ,The speaker speaks with a calm and conversational tone suitable for daily interaction.,vi,vi-VN,male,middle-aged,standard,professional,calm,conversational,https://storage.googleapis.com/eleven-public-prod/database/workspace/71c8e9aa82724ab7a3910f94aa87bd1e/voices/o7eW6FU1U8btdmuKphGp/59ce55ad-0fbf-4b6c-bf81-8fa392438a88.mp3
47rM9DW5VmjOw23BVHWi,Tuan Anh - Deep & Powerful Vietnamese,"A professional male voice with a warm, deep, and reassuring tone speaks with a standard accent.",vi,vi-VN,male,middle_aged,standard,professional,professional,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/8b673ecd50964d0c9a44fd4be3ee4e75/voices/47rM9DW5VmjOw23BVHWi/BmvvLm6ZdebK2euDWFRH.mp3
xfUqvWWCktUreI6zhcEq,"Nation - Warm, Expressive & Nuanced",The speaker delivers a professional narrative with a calm tone.,vi,vi-VN,male,middle_aged,standard,professional,calm,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/workspace/1fcf258f352640f69aa56f2a5ad325e5/voices/xfUqvWWCktUreI6zhcEq/5ipEHsQOxoQobv2A4c3c.mp3
ZvBK3ITp9pAzXbi1yZZH,Tony - Calm & Friendly ,The speaker speaks with a casual tone about the importance of kindness.,vi,vi-VN,male,middle-aged,standard,professional,casual,conversational,https://storage.googleapis.com/eleven-public-prod/database/workspace/872d9de6456448e3bd3629f430ffa9df/voices/ZvBK3ITp9pAzXbi1yZZH/bc8e6288-d894-4735-8c3e-541889833066.mp3
QNoFGjEs2994DgckhuSz,Moon Phan - Audiobooks & Podcast,"The speaker delivers a pleasant and optimistic greeting with a steady pace, suitable for a social media context.",vi,vi-VN,female,young,standard,professional,pleasant,social_media,https://storage.googleapis.com/eleven-public-prod/database/workspace/416289d62a9b40b0b4a81fc5a6b11711/voices/QNoFGjEs2994DgckhuSz/8SMqYMqghhZrjW76zxch.mp3
